ReturnDate,TerritoryKey,ProductKey,ReturnQuantity,Product_Price,Return_Amount
18-01-2015,9,312,1,1406.9758,1406.9758
19-02-2015,9,311,1,1406.9758,1406.9758
13-03-2015,9,350,1,1476.8956,1476.8956
15-03-2015,9,340,1,285.9519,285.9519
28-03-2015,9,314,1,1406.9758,1406.9758
29-03-2015,9,311,1,1406.9758,1406.9758
07-04-2015,9,311,1,1406.9758,1406.9758
07-04-2015,9,351,1,1476.8956,1476.8956
09-04-2015,9,311,1,1406.9758,1406.9758
10-04-2015,9,326,1,285.9519,285.9519
15-04-2015,9,312,1,1406.9758,1406.9758
16-04-2015,9,349,1,1476.8956,1476.8956
20-04-2015,9,310,1,1406.9758,1406.9758
21-04-2015,9,312,1,1406.9758,1406.9758
29-04-2015,9,348,1,1476.8956,1476.8956
06-05-2015,9,324,1,285.9519,285.9519
07-05-2015,9,351,1,1476.8956,1476.8956
22-05-2015,9,314,1,1406.9758,1406.9758
20-06-2015,9,347,1,1487.8356,1487.8356
24-06-2015,9,320,1,285.9519,285.9519
03-09-2015,9,369,1,924.5636,924.5636
07-10-2015,9,352,1,953.5637,953.5637
12-10-2015,9,379,1,860.8787,860.8787
23-10-2015,9,354,1,953.5637,953.5637
23-11-2015,9,326,1,285.9519,285.9519
10-12-2015,9,334,1,285.9519,285.9519
11-12-2015,9,375,1,860.8787,860.8787
12-12-2015,9,362,1,943.2882,943.2882
12-12-2015,9,379,1,860.8787,860.8787
14-12-2015,9,377,1,860.8787,860.8787
07-01-2016,9,362,1,943.2882,943.2882
10-01-2016,9,381,1,394.7883,394.7883
23-01-2016,9,354,1,953.5637,953.5637
26-01-2016,9,330,1,285.9519,285.9519
12-02-2016,9,330,1,285.9519,285.9519
20-02-2016,9,328,1,285.9519,285.9519
20-02-2016,9,377,1,860.8787,860.8787
22-02-2016,9,362,1,943.2882,943.2882
25-02-2016,9,370,1,924.5636,924.5636
08-03-2016,9,352,1,953.5637,953.5637
20-03-2016,9,360,1,943.2882,943.2882
29-03-2016,9,375,1,860.8787,860.8787
01-05-2016,9,352,1,953.5637,953.5637
03-05-2016,9,370,1,924.5636,924.5636
16-05-2016,9,354,1,953.5637,953.5637
27-06-2016,9,362,1,943.2882,943.2882
02-07-2016,9,375,1,860.8787,860.8787
03-07-2016,9,354,1,953.5637,953.5637
03-07-2016,9,477,1,3.1237,3.1237
03-07-2016,9,479,1,5.6277,5.6277
04-07-2016,9,356,1,953.5637,953.5637
08-07-2016,9,478,1,6.2537,6.2537
08-07-2016,9,480,1,1.4335,1.4335
08-07-2016,9,487,1,34.4237,34.4237
13-07-2016,9,371,1,860.8787,860.8787
13-07-2016,9,485,1,13.7595,13.7595
23-07-2016,9,377,1,860.8787,860.8787
25-07-2016,9,537,1,21.91,21.91
26-07-2016,9,487,1,34.4237,34.4237
26-07-2016,9,528,1,3.1237,3.1237
29-07-2016,9,480,1,1.4335,1.4335
29-07-2016,9,487,1,34.4237,34.4237
31-07-2016,9,489,1,12.4177,12.4177
01-08-2016,9,486,1,99.534,99.534
02-08-2016,9,539,1,15.6437,15.6437
07-08-2016,9,375,1,860.8787,860.8787
07-08-2016,9,480,1,1.4335,1.4335
09-08-2016,9,373,1,860.8787,860.8787
09-08-2016,9,535,1,15.6437,15.6437
09-08-2016,9,540,1,20.4076,20.4076
10-08-2016,9,220,1,21.6164,21.6164
11-08-2016,9,528,1,3.1237,3.1237
17-08-2016,9,529,1,2.4977,2.4977
20-08-2016,9,229,1,16.3429,16.3429
20-08-2016,9,529,1,2.4977,2.4977
20-08-2016,9,530,1,3.1237,3.1237
24-08-2016,9,214,1,21.9037,21.9037
24-08-2016,9,480,1,1.4335,1.4335
25-08-2016,9,540,1,20.4076,20.4076
26-08-2016,9,226,1,16.3429,16.3429
26-08-2016,9,466,1,13.8345,13.8345
30-08-2016,9,479,1,5.6277,5.6277
30-08-2016,9,529,1,2.4977,2.4977
31-08-2016,9,480,1,1.4335,1.4335
02-09-2016,9,385,1,394.7883,394.7883
03-09-2016,9,362,1,943.2882,943.2882
03-09-2016,9,480,1,1.4335,1.4335
03-09-2016,9,528,1,3.1237,3.1237
03-09-2016,9,561,1,902.1321,902.1321
05-09-2016,9,477,1,3.1237,3.1237
05-09-2016,9,485,1,13.7595,13.7595
06-09-2016,9,480,1,1.4335,1.4335
